accn,name,cq_a5,cq_b12,cq_d9,cq_g12,cq_eluate,xq_a5,xq_b12,xq_d9,xq_g12,xq_eluate,hq_a5,hq_b12,hq_d9,hq_g12,hq_eluate
NP_001230924.2,MHC class I antigen Hm1-C2 precursor [Cricetulus griseus],,,,0.10351695433710241,1.8471426835698264,,,,,,,,,,9.048942638100531
NP_001230936.1,carbonyl reductase [NADPH] 3 [Cricetulus griseus],,,,0.1290555463197975,3.2521600480896438,,,,0.09967315090972062,4.209372433086046,,,,,15.296642300840556
NP_001230962.1,40S ribosomal protein SA [Cricetulus griseus],,0.24332150128891136,0.4875435035511461,0.49986825425569636,12.501837509076108,,,,0.07354184326241271,15.782671434401323,,,,,60.58256805659133
NP_001230968.1,elongation factor 2 [Cricetulus griseus],,6.293365472158331,13.720959076205116,5.706212682523067,95.55111275563874,,,,3.5440495264218512,128.42432216277285,,,,,709.3276654322173
NP_001231051.1,calreticulin precursor [Cricetulus griseus],,,,0.06940218249420371,2.1250318530426124,,,,,1.1655243565382125,,,,,8.801986567779615
NP_001231331.1,elongation factor 1-alpha 1 [Cricetulus griseus],3.599394896050595,23.794649851830933,31.637018126843053,13.888194137715587,162.00055710707218,1.2116811270651182,1.1142077087341624,2.142272203667864,10.290529732839643,250.9196415843253,0.591117906175535,4.371569707264067,2.7511457413222526,2.3819176576728256,899.4227064528839
NP_001231779.1,adenosine kinase [Cricetulus griseus],,0.11700841196782687,0.23808817424428017,0.14593359420723945,,,,,,3.8012215792273962,,,,,35.126897610337224
NP_001231783.1,glyceraldehyde-3-phosphate dehydrogenase [Cricetulus griseus],,14.768691039209472,30.291589994552428,11.365088458751732,227.76059781607304,,,,7.278462712177841,356.2401155068768,,,,,1054.8909338746105
NP_001233606.1,coatomer subunit epsilon [Cricetulus griseus],,0.14382137233843648,0.24300381230063028,0.1252701306576931,5.809808957821122,,,,0.08174639736419347,10.157506118641887,,,,,41.13343356455242
NP_001233622.2,protein disulfide-isomerase precursor [Cricetulus griseus],,0.5964178855910094,0.8072238465739554,0.7832828697622949,10.3882355429504,,,,0.173652269891035,18.116956925920558,,,,,68.8897058824938
NP_001233634.1,trifunctional purine biosynthetic protein adenosine-3 [Cricetulus griseus],,0.612399202392735,1.1378469759354943,0.6344155119894918,3.244453887245614,,,,,5.646847070195575,,,,,73.29306451432286
NP_001233654.1,phosphoglycerate kinase 1 [Cricetulus griseus],,0.5142460710447974,1.2527422312754548,1.1411329855922405,64.49518274041205,,,,0.5918459742590696,64.79353267373126,,,,,415.3614442387671
NP_001233658.1,heat shock cognate 71 kDa protein [Cricetulus griseus],,1.1068077682930768,2.269178867567184,2.1885894579094756,62.05773928606389,,,85.34682825738282,1.5432169208972009,88.20969927984703,,,,,217.30387562256573
NP_001233662.1,T-complex protein 1 subunit alpha [Cricetulus griseus],,0.6447181734796719,2.7371459253824906,1.0930807073337396,30.908345954587674,,,,0.6278867279318642,30.050080654585557,,,,,279.606647072251
NP_001233668.1,endoplasmic reticulum chaperone BiP precursor [Cricetulus griseus],,11.940122522879825,23.0200157800054,16.816633693343725,1219.5653584714696,,,,9.739860370777267,486.04522348444044,,,,,1228.8071110685557
NP_001233670.1,hypoxia up-regulated protein 1 precursor [Cricetulus griseus],,,,0.41771334421354606,28.745974772918455,,,,,28.174904786226893,,,,,111.71451746346354
NP_001233680.1,aldose reductase-related protein 2 [Cricetulus griseus],,0.2624875988959099,0.558944878028314,0.35025421228668024,1.9664159322508044,,,,0.24945441413400793,6.0197877326122535,,,,,50.17857702363423
NP_001233694.1,peroxiredoxin-1 [Cricetulus griseus],0.5524705032129796,15.099033512187944,18.68911343741881,12.915817047461875,153.07960973475693,0.964092474808315,0.16523250733419304,0.5904590774663615,9.008188895271665,389.1738910514183,0.6587912431561379,4.524097149700278,0.8038657458341316,3.213080694726175,1129.0878395699406
NP_001233697.1,proliferating cell nuclear antigen [Cricetulus griseus],,0.03475439989724716,0.07495330255477752,0.061735474676567766,3.2771327650189637,,,,,7.629965446473289,,,,,49.09529648413005
NP_001233703.1,protein disulfide-isomerase A3 precursor [Cricetulus griseus],,,0.060561662341186866,0.06318329992919355,8.157559780598689,,,,,25.018794993458165,,,,,41.99677606475812
NP_001233709.1,peroxiredoxin-2 [Cricetulus griseus],0.06503501428324643,0.6865457862850425,0.6126055481633195,0.7918892948816247,29.392289182701695,,,,0.7414915613990833,30.77871448167766,,,,,156.91586161663943
NP_001233729.1,sialidase-1 precursor [Cricetulus griseus],,0.7280433040630413,1.2245818020700046,0.7062977081974959,40.179271122205755,,,,0.48734602711474756,50.357630814491735,,,,,163.085972400353
NP_001233750.1,heat shock protein HSP 90-alpha [Cricetulus griseus],,0.5508845003448009,1.778497826067655,1.8555166676331998,183.81945198201552,,,,0.7077414737679436,58.45117263409509,,,,,427.5317899778103
NP_001233756.1,dual specificity mitogen-activated protein kinase kinase 1 [Cricetulus griseus],,0.28900313946650197,0.5803536819246997,0.42850314476853596,,,,,0.288463312390055,,,,,,30.274904694248182
NP_001243807.1,selenoprotein P precursor [Cricetulus griseus],,0.767621985712839,1.2009774830526367,0.9588307758223181,,,,,0.5910682295897804,2.3928790144929337,,,,,30.05644995782165
NP_001272853.1,40S ribosomal protein S7 [Cricetulus griseus],,0.1005184152108322,,0.12964589849798658,1.4769028921846705,,,,,1.7206466261402509,,,,,12.017671892770673
XP_027242733.1,protocadherin-7 isoform X2 [Cricetulus griseus],,0.5128750022850704,1.218302177605403,0.9672987564325245,32.9566298704163,,,,0.6229692902064968,48.08007729133988,,,,,114.02190651978859
XP_027242832.1,WD repeat-containing protein 1 isoform X2 [Cricetulus griseus],,1.357054216647007,2.541928569192801,0.899105228946036,15.856452106182015,,,,0.8561396277912163,22.773303263826623,,,,,112.44992368626632
XP_027243210.1,heat shock protein HSP 90-beta isoform X11 [Cricetulus griseus],,1.2159758968123926,3.8912141095531023,4.616731003257567,272.79043412203566,,,,2.017511920162406,154.24991407147488,,,,,1015.5500031962397
XP_027243252.1,platelet-activating factor acetylhydrolase isoform X3 [Cricetulus griseus],,0.9647819971074271,2.03874024427816,1.036994367355634,8.395416863158982,,,,0.6259839456771895,13.34855834148636,,,,,110.01894355796381
XP_027243319.1,vinculin isoform X2 [Cricetulus griseus],,,0.9675954608465528,0.9655179644942775,,,,,,,,,,,2.5092543237392557
XP_027243445.1,protein transport protein Sec31A isoform X15 [Cricetulus griseus],,,0.8989492558805626,22.453802309136158,9.513520216227892,,,,,13.552145927477858,,,,,46.621262624639286
XP_027243827.1,T-complex protein 1 subunit delta [Cricetulus griseus],,0.10810508204189982,0.4675458649620944,0.6839623166453659,39.503504340869874,,,,0.9855091550451751,48.54613044619135,,,,,231.3195873621815
